Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pancreatic cancer	12/75	1.668758e-10	1.668758e-09	0	0	1.555740e+01	3.502557e+02	CDKN1A;CDK6;CCND1;PIK3CA;CDKN2A;E2F1;KRAS;PIK3R1;TP53;RELA;NFKB1;JAK1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	15/139	2.714761e-10	2.579023e-09	0	0	9.973739e+00	2.196930e+02	PCGF2;PIK3R1;BMI1;PIK3CA;MYC;KAT6A;ID1;ID3;PCGF1;KRAS;TCF3;JARID2;JAK2;JAK3;JAK1
KEGG_2019_Human	FoxO signaling pathway	14/132	1.363277e-09	1.233441e-08	0	0	9.744203e+00	1.989121e+02	USP7;CREBBP;CDKN1A;CDKN1B;PTEN;PIK3R1;FOXO3;BCL2L11;CCND1;PIK3CA;TNFSF10;EP300;KRAS;IL7R
KEGG_2019_Human	Hepatitis B	15/163	2.546856e-09	2.199558e-08	0	0	8.346156e+00	1.651571e+02	STAT5B;CREBBP;CDKN1A;PIK3R1;NFKB1;RELA;PIK3CA;MYC;E2F1;EP300;KRAS;JAK2;TP53;JAK3;JAK1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	15/186	1.550391e-08	1.280758e-07	0	0	7.215097e+00	1.297431e+02	CREBBP;CDKN1A;PIK3R1;NFKB1;RELA;CDK6;CCND1;PIK3CA;MYC;E2F1;EP300;KRAS;JAK2;TP53;JAK1
KEGG_2019_Human	Measles	13/138	2.266851e-08	1.794590e-07	0	0	8.502867e+00	1.496699e+02	STAT5B;CDKN1B;ADAR;PIK3R1;NFKB1;RELA;CCND3;CDK6;CCND1;PIK3CA;TP53;JAK3;JAK1
KEGG_2019_Human	Melanoma	10/72	2.366840e-08	1.798798e-07	0	0	1.306584e+01	2.294248e+02	CDKN1A;CDK6;CCND1;PIK3CA;CDKN2A;PTEN;E2F1;KRAS;PIK3R1;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	2.779676e-08	2.031301e-07	0	0	9.404564e+00	1.636239e+02	KAT2B;CREBBP;HDAC2;NOTCH1;CCND1;PIK3CA;HDAC1;MYC;EP300;KRAS;PIK3R1;TP53
KEGG_2019_Human	Glioma	10/75	3.539352e-08	2.490655e-07	0	0	1.246091e+01	2.137885e+02	CDKN1A;CDK6;CCND1;PIK3CA;CDKN2A;PTEN;E2F1;KRAS;PIK3R1;TP53
KEGG_2019_Human	Central carbon metabolism in cancer	9/65	1.240587e-07	8.418271e-07	0	0	1.296977e+01	2.062520e+02	PIK3CA;FLT3;MYC;IDH1;KIT;PTEN;KRAS;PIK3R1;TP53
KEGG_2019_Human	Colorectal cancer	10/86	1.338564e-07	8.769902e-07	0	0	1.065140e+01	1.685743e+02	CDKN1A;BCL2L11;CCND1;PIK3CA;MYC;LEF1;TCF7;KRAS;PIK3R1;TP53
KEGG_2019_Human	JAK-STAT signaling pathway	13/162	1.522826e-07	9.644563e-07	0	0	7.124553e+00	1.118379e+02	STAT5B;CREBBP;CDKN1A;PIK3R1;CCND3;CCND1;PIK3CA;MYC;EP300;IL7R;JAK2;JAK3;JAK1
KEGG_2019_Human	Prolactin signaling pathway	9/70	2.388839e-07	1.464127e-06	0	0	1.190365e+01	1.814985e+02	STAT5B;CCND1;PIK3CA;KRAS;PIK3R1;JAK2;FOXO3;RELA;NFKB1
KEGG_2019_Human	p53 signaling pathway	9/72	3.058415e-07	1.815934e-06	0	0	1.152459e+01	1.728711e+02	CDKN1A;CCND3;CDK6;CCND1;CDKN2A;SESN1;CHEK1;PTEN;TP53
KEGG_2019_Human	Thyroid cancer	7/37	3.552766e-07	2.045532e-06	0	0	1.870176e+01	2.777281e+02	CDKN1A;CCND1;MYC;TCF7;LEF1;KRAS;TP53
KEGG_2019_Human	Hematopoietic cell lineage	10/97	4.209587e-07	2.352417e-06	0	0	9.299465e+00	1.365230e+02	CSF1R;ITGAM;ITGA4;FLT3;CD19;KIT;CD38;IL7R;CD34;CD44
KEGG_2019_Human	Gastric cancer	12/149	4.436619e-07	2.408451e-06	0	0	7.127237e+00	1.042587e+02	CDKN1A;CDKN1B;CCND1;TERT;PIK3CA;MYC;TCF7;LEF1;E2F1;KRAS;PIK3R1;TP53
KEGG_2019_Human	Human immunodeficiency virus 1 infection	14/212	5.566710e-07	2.937986e-06	0	0	5.783483e+00	8.328963e+01	APOBEC3C;APOBEC3D;APOBEC3F;APOBEC3G;APOBEC3H;CUL1;PIK3R1;RELA;NFKB1;PIK3CA;CHEK1;KRAS;APOBEC3A;APOBEC3B
KEGG_2019_Human	Longevity regulating pathway	10/102	6.746351e-07	3.305877e-06	0	0	8.791823e+00	1.249238e+02	HDAC2;PIK3CA;HDAC1;SESN1;KRAS;PIK3R1;FOXO3;TP53;NFKB1;RELA
KEGG_2019_Human	Cushing syndrome	12/155	6.785748e-07	3.305877e-06	0	0	6.826103e+00	9.695300e+01	KMT2D;CDKN1A;CDK6;CDKN1B;CCND1;KMT2A;CDKN2A;TCF7;LEF1;E2F1;ARNT;PBX1
KEGG_2019_Human	Hepatitis C	12/155	6.785748e-07	3.305877e-06	0	0	6.826103e+00	9.695300e+01	CDKN1A;CDK6;CCND1;PIK3CA;MYC;E2F1;KRAS;PIK3R1;TP53;NFKB1;RELA;JAK1
KEGG_2019_Human	Bladder cancer	7/41	7.430771e-07	3.529616e-06	0	0	1.649821e+01	2.328304e+02	CDKN1A;CCND1;CDKN2A;MYC;E2F1;KRAS;TP53
KEGG_2019_Human	Chemokine signaling pathway	13/190	9.532400e-07	4.417453e-06	0	0	5.988936e+00	8.302701e+01	CX3CR1;CCL25;STAT5B;PIK3R1;FOXO3;NFKB1;RELA;PIK3CA;CCR9;CCR7;KRAS;JAK2;JAK3
KEGG_2019_Human	Notch signaling pathway	7/48	2.256905e-06	1.020981e-05	0	0	1.367658e+01	1.778163e+02	KAT2B;HDAC2;CREBBP;NOTCH1;HDAC1;DTX1;EP300
KEGG_2019_Human	Th1 and Th2 cell differentiation	9/92	2.506052e-06	1.107325e-05	0	0	8.738692e+00	1.127012e+02	STAT5B;NOTCH1;LCK;JAK2;JAK3;RUNX3;RELA;NFKB1;JAK1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	9/100	5.026174e-06	2.122162e-05	0	0	7.967213e+00	9.720678e+01	STAT5B;CDKN1B;CCND1;PIK3CA;KRAS;PIK3R1;JAK2;NFKB1;RELA
KEGG_2019_Human	HIF-1 signaling pathway	9/100	5.026174e-06	2.122162e-05	0	0	7.967213e+00	9.720678e+01	CREBBP;CDKN1A;CDKN1B;PIK3CA;EP300;ARNT;PIK3R1;NFKB1;RELA
KEGG_2019_Human	Human cytomegalovirus infection	13/225	6.207927e-06	2.564144e-05	0	0	4.991254e+00	5.984356e+01	CDKN1A;CDKN2A;PIK3R1;RELA;NFKB1;CDK6;CCND1;PIK3CA;MYC;E2F1;KRAS;TP53;JAK1
KEGG_2019_Human	Spliceosome	10/134	8.110800e-06	3.266046e-05	0	0	6.512346e+00	7.633976e+01	DDX39B;U2AF2;SRSF2;SRSF3;U2AF1;HNRNPC;SRSF6;SRSF7;SF3B1;CHERP
KEGG_2019_Human	Thermogenesis	13/231	8.251063e-06	3.266046e-05	0	0	4.852389e+00	5.679803e+01	SMARCD1;SMARCC1;SMARCD2;SMARCB1;SMARCC2;SMARCD3;ACTL6B;ACTL6A;ARID1A;SMARCA2;ARID1B;SMARCA4;KRAS
KEGG_2019_Human	Th17 cell differentiation	9/107	8.773747e-06	3.402065e-05	0	0	7.395492e+00	8.611123e+01	STAT5B;IRF4;LCK;JAK2;JAK3;NFKB1;RELA;RUNX1;JAK1
KEGG_2019_Human	Influenza A	11/171	1.187367e-05	4.511995e-05	0	0	5.564489e+00	6.310791e+01	CREBBP;DDX39B;PIK3CA;TNFSF10;EP300;ADAR;PIK3R1;JAK2;NFKB1;RELA;JAK1
KEGG_2019_Human	Renal cell carcinoma	7/69	2.638947e-05	9.831372e-05	0	0	9.034553e+00	9.524718e+01	CDKN1A;CREBBP;PIK3CA;EP300;ARNT;KRAS;PIK3R1
KEGG_2019_Human	Nicotinate and nicotinamide metabolism	5/30	3.425799e-05	1.248885e-04	0	0	1.590484e+01	1.635270e+02	NAPRT;QPRT;NAMPT;CD38;NT5C2
KEGG_2019_Human	Osteoclast differentiation	9/127	3.483731e-05	1.248885e-04	0	0	6.135767e+00	6.298255e+01	CSF1R;SPI1;PIK3CA;LCK;PIK3R1;NFKB1;RELA;NFKB2;JAK1
KEGG_2019_Human	Leishmaniasis	7/74	4.171864e-05	1.467878e-04	0	0	8.358209e+00	8.428888e+01	ITGB1;ITGAM;ITGA4;JAK2;RELA;NFKB1;JAK1
KEGG_2019_Human	Leukocyte transendothelial migration	8/112	8.991287e-05	3.106081e-04	0	0	6.167347e+00	5.745913e+01	ITGB1;ITGAM;ITGA4;PIK3CA;PECAM1;RHOH;PIK3R1;CD99
KEGG_2019_Human	ErbB signaling pathway	7/85	1.017053e-04	3.450714e-04	0	0	7.175474e+00	6.596723e+01	STAT5B;CDKN1A;CDKN1B;PIK3CA;MYC;KRAS;PIK3R1
KEGG_2019_Human	Wnt signaling pathway	9/158	1.878555e-04	6.261850e-04	0	0	4.851524e+00	4.162529e+01	CCND3;CREBBP;CCND1;MYC;TCF7;LEF1;CUL1;EP300;TP53
KEGG_2019_Human	Proteoglycans in cancer	10/201	2.514303e-04	8.236508e-04	0	0	4.213475e+00	3.492273e+01	ITGB1;CDKN1A;CCND1;PIK3CA;MYC;IGF2;KRAS;PIK3R1;TP53;CD44
KEGG_2019_Human	B cell receptor signaling pathway	6/71	2.781272e-04	8.956638e-04	0	0	7.355466e+00	6.022237e+01	PIK3CA;CD19;KRAS;PIK3R1;RELA;NFKB1
KEGG_2019_Human	Apoptosis	8/143	4.805876e-04	1.521861e-03	0	0	4.743643e+00	3.624381e+01	BCL2L11;PIK3CA;TNFSF10;KRAS;PIK3R1;TP53;NFKB1;RELA
KEGG_2019_Human	Sphingolipid signaling pathway	7/119	8.029725e-04	2.460722e-03	0	0	4.988567e+00	3.555447e+01	PIK3CA;PTEN;KRAS;PIK3R1;TP53;NFKB1;RELA
KEGG_2019_Human	Neurotrophin signaling pathway	7/119	8.029725e-04	2.460722e-03	0	0	4.988567e+00	3.555447e+01	PIK3CA;KRAS;PIK3R1;FOXO3;TP53;NFKB1;RELA
KEGG_2019_Human	Lysine degradation	5/59	8.932929e-04	2.694058e-03	0	0	7.352524e+00	5.161910e+01	KMT2E;KMT2D;KMT2A;EZH1;EZH2
KEGG_2019_Human	TGF-beta signaling pathway	6/90	9.906492e-04	2.940990e-03	0	0	5.686235e+00	3.933254e+01	CREBBP;MYC;ID1;CUL1;EP300;ID3
KEGG_2019_Human	Primary immunodeficiency	4/37	1.189547e-03	3.477137e-03	0	0	9.596690e+00	6.462586e+01	LCK;CD19;IL7R;JAK3
KEGG_2019_Human	Amoebiasis	6/96	1.385321e-03	3.854302e-03	0	0	5.305533e+00	3.492008e+01	SERPINB1;ITGAM;PIK3CA;PIK3R1;RELA;NFKB1
