Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Relaxin signaling pathway	5/130	2.489656e-02	4.730346e-02	0	0	3.164839e+00	1.168783e+01	PIK3CA;KRAS;PIK3R1;NFKB1;RELA
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	5/131	2.562706e-02	4.820932e-02	0	0	3.139561e+00	1.150369e+01	PIK3CA;LCK;TNFSF10;KRAS;PIK3R1
KEGG_2019_Human	mRNA surveillance pathway	4/91	2.840821e-02	5.291726e-02	0	0	3.630153e+00	1.292725e+01	UPF1;DDX39B;CASC3;MSI2
KEGG_2019_Human	NF-kappa B signaling pathway	4/95	3.255899e-02	6.006027e-02	0	0	3.469880e+00	1.188330e+01	LCK;RELA;NFKB1;NFKB2
KEGG_2019_Human	Huntington disease	6/193	3.643268e-02	6.655971e-02	0	0	2.540865e+00	8.416078e+00	CREBBP;HDAC2;DNAH17;HDAC1;EP300;TP53
KEGG_2019_Human	VEGF signaling pathway	3/59	3.872243e-02	7.006916e-02	0	0	4.219500e+00	1.371901e+01	PIK3CA;KRAS;PIK3R1
KEGG_2019_Human	Phospholipase D signaling pathway	5/148	4.017798e-02	7.201714e-02	0	0	2.763930e+00	8.884475e+00	PIK3CA;KIT;KRAS;PIK3R1;DNM2
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	4/103	4.187254e-02	7.435311e-02	0	0	3.188187e+00	1.011652e+01	PIK3CA;PIK3R1;NFKB1;RELA
KEGG_2019_Human	Toll-like receptor signaling pathway	4/104	4.313202e-02	7.588040e-02	0	0	3.156145e+00	9.921308e+00	PIK3CA;PIK3R1;NFKB1;RELA
KEGG_2019_Human	Oxytocin signaling pathway	5/153	4.524512e-02	7.886764e-02	0	0	2.669872e+00	8.265019e+00	MEF2C;CDKN1A;CCND1;CD38;KRAS
KEGG_2019_Human	Herpes simplex virus 1 infection	11/492	4.921647e-02	8.501027e-02	0	0	1.820639e+00	5.482903e+00	PIK3CA;SRSF2;SRSF3;PIK3R1;JAK2;SRSF6;TP53;SRSF7;RELA;NFKB1;JAK1
KEGG_2019_Human	TNF signaling pathway	4/110	5.113302e-02	8.752499e-02	0	0	2.976586e+00	8.850356e+00	PIK3CA;PIK3R1;NFKB1;RELA
KEGG_2019_Human	Long-term potentiation	3/67	5.307001e-02	8.935590e-02	0	0	3.690562e+00	1.083602e+01	CREBBP;EP300;KRAS
KEGG_2019_Human	cAMP signaling pathway	6/212	5.314325e-02	8.935590e-02	0	0	2.304273e+00	6.762497e+00	CREBBP;PIK3CA;EP300;PIK3R1;RELA;NFKB1
KEGG_2019_Human	Cholinergic synapse	4/112	5.396858e-02	8.994763e-02	0	0	2.921166e+00	8.527916e+00	PIK3CA;KRAS;PIK3R1;JAK2
KEGG_2019_Human	Fc epsilon RI signaling pathway	3/68	5.502004e-02	9.090267e-02	0	0	3.633600e+00	1.053765e+01	PIK3CA;KRAS;PIK3R1
KEGG_2019_Human	Adipocytokine signaling pathway	3/69	5.700397e-02	9.336856e-02	0	0	3.578364e+00	1.025070e+01	JAK2;RELA;NFKB1
KEGG_2019_Human	RNA transport	5/165	5.889875e-02	9.564754e-02	0	0	2.468120e+00	6.989556e+00	UPF1;DDX39B;NUP85;CASC3;GEMIN8
KEGG_2019_Human	AMPK signaling pathway	4/120	6.614348e-02	1.065022e-01	0	0	2.718599e+00	7.383521e+00	CCND1;PIK3CA;PIK3R1;FOXO3
KEGG_2019_Human	Alcoholism	5/180	7.892517e-02	1.260150e-01	0	0	2.254839e+00	5.725611e+00	HDAC2;HDAC10;HDAC1;KRAS;HDAC6
KEGG_2019_Human	Autophagy	4/128	7.962234e-02	1.260687e-01	0	0	2.542169e+00	6.432858e+00	PIK3CA;PTEN;KRAS;PIK3R1
KEGG_2019_Human	ECM-receptor interaction	3/82	8.573273e-02	1.346216e-01	0	0	2.987544e+00	7.338964e+00	ITGB1;ITGA4;CD44
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	3/91	1.085443e-01	1.690444e-01	0	0	2.680773e+00	5.952915e+00	PIK3CA;PIK3R1;DNM2
KEGG_2019_Human	Proteasome	2/45	1.108282e-01	1.711981e-01	0	0	3.651255e+00	8.031936e+00	PSMD4;PSMB9
KEGG_2019_Human	Type II diabetes mellitus	2/46	1.149404e-01	1.761184e-01	0	0	3.568091e+00	7.719000e+00	PIK3CA;PIK3R1
KEGG_2019_Human	Hedgehog signaling pathway	2/47	1.190911e-01	1.802914e-01	0	0	3.488623e+00	7.423324e+00	CCND1;CUL1
KEGG_2019_Human	Synthesis and degradation of ketone bodies	1/10	1.195617e-01	1.802914e-01	0	0	8.702822e+00	1.848412e+01	HMGCS1
KEGG_2019_Human	mTOR signaling pathway	4/152	1.273063e-01	1.892602e-01	0	0	2.127320e+00	4.384746e+00	PIK3CA;PTEN;KRAS;PIK3R1
KEGG_2019_Human	Cocaine addiction	2/49	1.275016e-01	1.892602e-01	0	0	3.339832e+00	6.878807e+00	RELA;NFKB1
KEGG_2019_Human	Choline metabolism in cancer	3/99	1.305603e-01	1.908189e-01	0	0	2.456375e+00	5.000984e+00	PIK3CA;KRAS;PIK3R1
KEGG_2019_Human	Phosphatidylinositol signaling system	3/99	1.305603e-01	1.908189e-01	0	0	2.456375e+00	5.000984e+00	PIK3CA;PTEN;PIK3R1
KEGG_2019_Human	Regulation of lipolysis in adipocytes	2/55	1.534954e-01	2.226269e-01	0	0	2.960836e+00	5.548857e+00	PIK3CA;PIK3R1
KEGG_2019_Human	Glutathione metabolism	2/56	1.579237e-01	2.273144e-01	0	0	2.905858e+00	5.363178e+00	IDH1;IDH2
KEGG_2019_Human	Pyrimidine metabolism	2/57	1.623757e-01	2.319653e-01	0	0	2.852879e+00	5.186085e+00	CTPS1;NT5C2
KEGG_2019_Human	NOD-like receptor signaling pathway	4/178	1.892608e-01	2.683548e-01	0	0	1.807044e+00	3.008059e+00	NAMPT;NFKB1;RELA;JAK1
KEGG_2019_Human	Axon guidance	4/181	1.969576e-01	2.771997e-01	0	0	1.776144e+00	2.885820e+00	ITGB1;PIK3CA;KRAS;PIK3R1
KEGG_2019_Human	Inflammatory bowel disease (IBD)	2/65	1.986975e-01	2.775921e-01	0	0	2.489597e+00	4.023118e+00	RELA;NFKB1
KEGG_2019_Human	Platelet activation	3/124	2.074918e-01	2.877623e-01	0	0	1.946380e+00	3.061001e+00	ITGB1;PIK3CA;PIK3R1
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	2/68	2.125646e-01	2.926614e-01	0	0	2.376071e+00	3.679369e+00	RELA;NFKB1
KEGG_2019_Human	Steroid biosynthesis	1/19	2.149377e-01	2.937997e-01	0	0	4.349427e+00	6.686839e+00	DHCR7
KEGG_2019_Human	RIG-I-like receptor signaling pathway	2/70	2.218608e-01	3.010968e-01	0	0	2.305953e+00	3.472085e+00	RELA;NFKB1
KEGG_2019_Human	One carbon pool by folate	1/20	2.248782e-01	3.030273e-01	0	0	4.120301e+00	6.148298e+00	DHFR
KEGG_2019_Human	Inositol phosphate metabolism	2/74	2.405415e-01	3.218513e-01	0	0	2.177402e+00	3.102498e+00	PIK3CA;PTEN
KEGG_2019_Human	Terpenoid backbone biosynthesis	1/22	2.443846e-01	3.247068e-01	0	0	3.727513e+00	5.252112e+00	HMGCS1
KEGG_2019_Human	Apelin signaling pathway	3/137	2.508103e-01	3.263970e-01	0	0	1.756388e+00	2.429187e+00	MEF2C;CCND1;KRAS
KEGG_2019_Human	Estrogen signaling pathway	3/137	2.508103e-01	3.263970e-01	0	0	1.756388e+00	2.429187e+00	PIK3CA;KRAS;PIK3R1
